show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s17,Movie,The Silent City,Martin Wang,"Carlos Johnson, Kwame Yamamoto, David Kumar",United States,"June 10, 2019",2016,TV-14,124 min,TV Thrillers,A thrilling story about survival.
s18,Movie,Shadow of City,Ravi Rossi,"Carlos Rodriguez, Chen Rossi, Yuki Okonkwo, Maria Johnson, Ahmed Brown, David Rodriguez, Diego Petit",United Kingdom,"December 08, 2020",2020,TV-14,129 min,Sports Movies,A gripping story about friendship.
s19,Movie,Broken Journey,Alice Nakamura,"Chen Khan, Chloé Müller, Hiroshi Martinez, Tom Wang, Chloé Yamamoto, Raj Rodriguez, Yuki Smith, Camila Wang",United States,"October 15, 2022",2022,TV-G,117 min,"TV Action & Adventure, Kids' TV",A gripping story about family.
s20,Movie,The Dangerous Paradise,Lin Suzuki,"Camila Kumar, Fatima Kumar, Priya Silva, Felipe Suzuki",China,"November 07, 2024",2024,TV-14,140 min,TV Action & Adventure,A heartwarming story about revenge.
s21,TV Show,Sacred Stranger,,"Chloé Rodriguez, Alice Johnson, Priya Andersen, Chloé Silva, Chen López, Camila Müller",Germany,"December 15, 2014",2009,TV-14,2 Seasons,"Kids' TV, Reality TV",A heartwarming story about adventure.
s22,Movie,Murder: Deadly Mother,Kwame Brown,"Kwame Johnson, Liam Wang, Camila Nakamura, Liam Andersen, Chloé Yamamoto, Chloé López, Tom Petit, Ingrid García",China,"May 15, 2017",1994,TV-14,147 min,Horror Movies,A heartwarming story about friendship.
s23,Movie,The Strange Light,Noah Suzuki,"Liam Silva, James Yamamoto, Maria Khan, Chloé Brown, Olivier Wang",China,"January 12, 2018",2018,R,83 min,Crime TV Shows,A thrilling story about revenge.
s24,Movie,The Dark Dream,Amélie Wang,"Felipe Tanaka, Hiroshi Rossi, Olivier Khan, Chloé Kumar, Hiroshi Yamamoto",South Korea,"September 27, 2017",2013,R,134 min,"TV Dramas, International Movies",A heartwarming story about revenge.
s25,Movie,The Wild Friend,Ingrid Silva,"Felipe Rodriguez, Liam Suzuki, Ahmed Nakamura, Tom Martinez, Tom Rodriguez",Japan,"October 07, 2024",2024,TV-Y7,89 min,Children & Family Movies,A thrilling story about love.
s26,Movie,The Dark House,Olivier Yamamoto,"Isabella Rossi, Carlos Rossi, Lin Kumar, Emma Khan, Ravi Yamamoto, Ravi Tanaka, Ravi Andersen, Raj Rossi",United States,"July 18, 2017",2010,R,82 min,"TV Action & Adventure, Anime Series",A mysterious story about family.
s27,Movie,Mother of Revenge,Amélie Tanaka,"Raj Nakamura, Maria Kim, Chen Petit, Emma Yamamoto, Carlos Wang, Ravi Rodriguez, Fatima Khan, Sofia Patel",India,"March 02, 2024",2024,TV-PG,129 min,Children & Family Movies,A heartwarming story about revenge.
s28,Movie,Witness of Friend,Emma Andersen,"Hiroshi Martinez, Maria Tanaka, Ingrid Tanaka, Amélie Andersen, Olivier Wang, Kwame Wang",United States,"March 05, 2008",2000,TV-14,120 min,"Action & Adventure, Children & Family Movies",A thrilling story about adventure.
s29,TV Show,Queen of Journey,"Ingrid Okonkwo, Isabella Nakamura","Martin Khan, Sofia Johnson, Chen Okonkwo, Maria Kumar, David Khan, Chen López, Priya Müller",United States,"January 25, 2010",2006,TV-MA,1 Season,"TV Action & Adventure, Stand-Up Comedy",A mysterious story about friendship.
s30,TV Show,The Sacred War,"Diego Patel, Maria Andersen","Isabella Suzuki, Priya Johnson, Amélie Rossi, Diego Müller, Sofia López, Aoi Johnson, Olivier Rossi, Chen López",India,"March 27, 2018",2018,TV-PG,1 Season,"Thrillers, Horror Movies",A thrilling story about adventure.
s31,TV Show,The Golden Mother,,"Fatima Smith, Amélie Yamamoto, Olivier Silva, Felipe López, Hiroshi Okonkwo",India,"April 05, 2023",2014,TV-Y7,2 Seasons,"Action & Adventure, Sci-Fi & Fantasy, Korean TV Shows",A mysterious story about adventure.
s32,Movie,Eternal Kingdom,Camila García,"Amélie Martinez, Chloé Rossi, Priya Brown, Lin Johnson, Sofia Silva, Martin López, Ahmed Silva","Australia, China","June 13, 2010",2006,TV-MA,129 min,Dramas,A thrilling story about adventure.
s33,Movie,Love of Kingdom,Martin Tanaka,"Hiroshi García, Tom Okonkwo, Martin Smith, Alice Wang, Sofia Kumar, Lin Müller","Mexico, India","March 08, 2024",2024,TV-14,63 min,"Dramas, Crime TV Shows",A gripping story about adventure.
s34,Movie,Story: Sacred Legend,Maria Tanaka,"Fatima García, Amélie Kim, Tom López, Noah Kumar, Olivier Khan, Hiroshi Patel, Maria Okonkwo, Noah Rodriguez",India,"July 01, 2018",2016,TV-Y7,112 min,"Action & Adventure, Crime TV Shows, Thrillers",A gripping story about love.
s35,Movie,House: Deadly Family,Amélie Okonkwo,,China,"September 20, 2021",2002,TV-14,93 min,"Music & Musicals, Comedies",A thrilling story about survival.
s36,Movie,The Infinite Game,Diego López,"Ravi Nakamura, Noah Patel, Aoi Tanaka, Lin Andersen, Ingrid Khan, Chloé Müller, Alice Tanaka","South Korea, United Kingdom","July 09, 2020",2018,TV-PG,120 min,"Dramas, Spanish-Language TV Shows, Anime Series",A gripping story about revenge.
s37,Movie,The Final Game,Martin Smith,"Carlos López, Yuki Petit, Felipe Petit, Camila Brown","China, United States","November 09, 2019",2018,TV-14,52 min,"TV Comedies, TV Action & Adventure",A mysterious story about friendship.
s38,Movie,Dangerous King,Camila Martinez,"Hiroshi Silva, Ingrid Silva, Chen López, Martin Petit, Lin Johnson, Raj Khan, Isabella Andersen",France,"January 15, 2023",1998,TV-MA,113 min,"TV Horror, Comedies",A mysterious story about family.
s39,TV Show,Sacred Heart,,"Sofia Wang, Fatima Khan, Priya Kim, Amélie García, Camila Rodriguez, Felipe Petit, Yuki Petit, Chen López",United Kingdom,"February 15, 2009",1990,TV-MA,4 Seasons,International TV Shows,A thrilling story about revenge.
s40,Movie,The Broken Shadow,Olivier Khan,"James Martinez, Ahmed Khan, Chloé Khan, Kwame Petit, Ravi Silva","India, United States","May 18, 2014",2014,TV-14,92 min,"Romantic Movies, Stand-Up Comedy",A hilarious story about friendship.
s41,Movie,The Beautiful Story,Diego Khan,"Chen Rossi, Maria García, Camila García, Amélie Rodriguez, Sofia Rodriguez","United States, United Kingdom","September 07, 2021",2012,PG-13,45 min,"Action & Adventure, International TV Shows",A mysterious story about adventure.
s42,TV Show,Love of Empire,"Chen Nakamura, James Silva","Ahmed Petit, Olivier López, Raj Rodriguez, Diego Kumar","United States, Mexico, India","March 18, 2011",2011,TV-PG,4 Seasons,"Independent Movies, TV Dramas, Comedies",A mysterious story about friendship.
s43,Movie,Family of Fire,Fatima Kumar,"Carlos Kim, Fatima Okonkwo, Chloé Petit, Ahmed Kim","United Kingdom, Canada, United States","February 11, 2024",2024,TV-MA,80 min,"Reality TV, Spanish-Language TV Shows",A hilarious story about friendship.
s44,Movie,The Dangerous Fire,Tom Tanaka,"Chloé Patel, Camila López, Hiroshi Petit, Yuki Rodriguez, Isabella Okonkwo, Diego Rossi",Spain,"March 28, 2024",2024,TV-MA,103 min,"Anime Series, Romantic Movies",A hilarious story about love.
s45,Movie,Beautiful Friend,Felipe Martinez,"Noah Kim, Ravi Johnson, Alice Suzuki, Lin Smith, Ravi López, Emma García","Spain, United Kingdom","April 29, 2021",2000,TV-Y7,81 min,"Children & Family Movies, Spanish-Language TV Shows",A thrilling story about family.
s46,Movie,Friend: Last Shadow,Martin Patel,"Lin Andersen, Hiroshi Rodriguez, Isabella Patel, Ahmed Martinez",South Korea,"November 26, 2019",2012,TV-PG,130 min,"British TV Shows, TV Thrillers",A mysterious story about friendship.
s47,Movie,Game: Broken Game,Raj Smith,"James Patel, Fatima Brown, Ravi Wang, Isabella Brown",Egypt,"January 09, 2022",2009,TV-PG,65 min,"Sci-Fi & Fantasy, Classic Movies, British TV Shows",A thrilling story about love.
s48,Movie,Mountain of Legend,Yuki Suzuki,"Chloé Nakamura, Maria Khan, Isabella Khan, Kwame Khan, Sofia Petit, Tom Johnson",France,"June 06, 2024",2024,TV-14,102 min,"Stand-Up Comedy, International TV Shows, Romantic Movies",A mysterious story about adventure.
s49,Movie,City: Sacred Mountain,Isabella Müller,"Hiroshi Wang, Liam Patel, Chloé Johnson, Emma Andersen, Lin Petit","United States, Indonesia, Germany","April 07, 2019",2019,TV-14,106 min,Reality TV,A hilarious story about family.
s50,Movie,The Forgotten Witness,Felipe Tanaka,"Liam Khan, Camila Yamamoto, Emma Patel, Yuki Rossi, Aoi Khan, Chloé Nakamura",Australia,"December 26, 2024",2024,TV-MA,147 min,"LGBTQ Movies, Comedies",A thrilling story about love.
s51,TV Show,Shadow: Golden Witness,"Camila Wang, Lin Suzuki","Tom Patel, Liam García, Maria Andersen, David Okonkwo, Ahmed Andersen, Aoi Kim",United States,"July 14, 2016",2008,TV-MA,1 Season,"Stand-Up Comedy, Spanish-Language TV Shows",A mysterious story about adventure.
s52,TV Show,Journey of Dream,Martin Khan,"Martin Suzuki, Diego Rossi, Hiroshi Suzuki, David Suzuki",United Kingdom,"February 04, 2011",1997,TV-PG,4 Seasons,"International TV Shows, TV Horror",A heartwarming story about family.
s53,Movie,King: Eternal Revenge,Maria Suzuki,"David Patel, Felipe Okonkwo, Priya Suzuki, James Okonkwo, James Okonkwo",Argentina,"September 23, 2016",2016,TV-MA,101 min,"Classic Movies, Spanish-Language TV Shows",A thrilling story about family.
s54,TV Show,Eternal House,,"Lin Tanaka, Isabella Silva, Emma Kim, Ahmed Kumar, Aoi Petit, Chloé Petit",India,"September 30, 2019",2006,TV-PG,2 Seasons,"Korean TV Shows, TV Action & Adventure, Comedies",A gripping story about family.
s55,Movie,The Infinite King,Kwame Müller,"Chloé Brown, Chloé López, Olivier Patel, Chen Yamamoto, David Tanaka","United States, Philippines, Japan","March 11, 2011",2011,TV-14,106 min,Anime Series,A gripping story about survival.
s56,Movie,The Dark Revenge,Isabella Rossi,"Noah Yamamoto, Felipe Rossi, Maria Tanaka, Amélie Kim, Chen Silva, Carlos Johnson",Australia,"January 24, 2021",1999,TV-14,82 min,"Thrillers, Kids' TV",A thrilling story about family.
s57,Movie,Detective: Hidden Witness,Olivier García,"Lin Martinez, Diego Tanaka, Camila Tanaka, Ingrid Martinez, Carlos Okonkwo, Ingrid Rodriguez, Chloé Yamamoto","India, United States","October 27, 2024",2024,TV-PG,92 min,Crime TV Shows,A gripping story about revenge.
s58,Movie,The Last Family,Olivier Andersen,"Diego Wang, David Silva, Alice Okonkwo, Isabella Rodriguez, Diego Martinez",South Korea,"March 13, 2017",2017,TV-14,94 min,"Korean TV Shows, Independent Movies",A thrilling story about love.
s59,Movie,Story: Secret Empire,,"Fatima Andersen, James Patel, Chloé Suzuki, Camila López, Aoi Suzuki, Tom Wang, Fatima López",United States,"March 25, 2022",2003,TV-MA,116 min,"Dramas, Comedies",A gripping story about family.
s60,Movie,Stranger: Lost Mother,Kwame Nakamura,"Kwame Brown, Lin Brown, Maria Suzuki",Japan,,2024,TV-MA,105 min,TV Comedies,A mysterious story about survival.
s61,Movie,Paradise of Mountain,Yuki Suzuki,"Felipe Khan, Chen Patel, Ahmed Petit","South Korea, United States, Mexico","August 19, 2015",2014,R,94 min,Comedies,A gripping story about friendship.
s62,TV Show,Lost Paradise,"Chen Rossi, Chen Brown","Kwame Martinez, David López, Maria Wang, Tom Smith, James Okonkwo, Tom Johnson, Raj Wang",United States,"December 24, 2024",2024,R,5 Seasons,"Docuseries, Children & Family Movies",A thrilling story about revenge.
s63,Movie,Silent Light,Martin Martinez,"Olivier Andersen, Priya Martinez, Tom Silva, Noah Kumar, Olivier Kumar, Aoi Tanaka, Isabella Martinez, Emma Okonkwo",Canada,"October 16, 2022",2013,TV-MA,136 min,"TV Thrillers, Action & Adventure, Thrillers",A gripping story about survival.
s64,Movie,Legend of Kingdom,Carlos Tanaka,"Ravi Rossi, Noah Müller, Hiroshi López, Amélie Martinez, Amélie Khan, Lin Yamamoto","United States, United Kingdom","July 18, 2016",2016,TV-MA,53 min,"LGBTQ Movies, TV Comedies",A thrilling story about revenge.
s65,Movie,The Golden Queen,Emma López,"Chen Nakamura, Noah Johnson, Fatima López, Hiroshi Brown, Isabella Kumar, Felipe Brown","Canada, India, United Kingdom","February 19, 2020",2000,TV-MA,123 min,"Crime TV Shows, LGBTQ Movies",A mysterious story about survival.
s66,Movie,Midnight Dream,Chloé Patel,"Carlos Müller, Fatima García, Lin Brown, David Müller, James Kim","France, United Kingdom","February 19, 2024",2024,TV-MA,133 min,"Docuseries, TV Comedies",A heartwarming story about family.
s67,TV Show,Silent Paradise,,"Olivier Petit, Priya Patel, Ahmed Suzuki, Sofia García, James Nakamura, Priya Rodriguez, James Yamamoto","United States, India","April 27, 2013",1997,R,1 Season,Children & Family Movies,A mysterious story about family.
s68,Movie,Heart of Mountain,Yuki Wang,"Priya Kim, Maria Müller, Kwame Petit, Olivier López","United Kingdom, Spain, United States","July 17, 2017",2015,TV-MA,96 min,"Crime TV Shows, TV Dramas",A gripping story about survival.
s69,TV Show,Deadly Witness,"Carlos Martinez, Raj Müller","David Rossi, Chloé Nakamura, Aoi Rossi, Maria Tanaka, Lin Silva",Japan,"April 06, 2018",2001,TV-MA,1 Season,"Romantic Movies, Stand-Up Comedy",A gripping story about love.
s70,Movie,Revenge: Golden Paradise,Felipe Okonkwo,"Noah Rodriguez, Camila Suzuki, Felipe Nakamura, Kwame Khan, Priya Rodriguez, Ingrid Müller",United States,"September 19, 2017",2012,PG,112 min,Anime Series,A mysterious story about love.
s71,Movie,Silent Paradise,David García,"Kwame Khan, Carlos Wang, David Patel, Maria Johnson, Alice Kim, Chen Wang, Chen Müller","United Kingdom, United States","September 14, 2018",2018,TV-14,112 min,"British TV Shows, Reality TV",A hilarious story about adventure.
s72,Movie,Family of Detective,Priya Smith,"Amélie Nakamura, Felipe Rossi, Ahmed Kim","Egypt, United Kingdom, United States","July 11, 2019",1994,TV-Y7,96 min,"Sci-Fi & Fantasy, TV Thrillers",A thrilling story about family.
s73,Movie,Love: Silent Story,Ahmed Müller,"Carlos Kim, Diego Brown, Chloé Rodriguez, Isabella Khan, Ravi Suzuki, Felipe Rodriguez, Felipe Brown",Mexico,"June 22, 2016",2012,TV-14,93 min,"Stand-Up Comedy, Docuseries",A thrilling story about survival.
s74,Movie,Empire: Broken Witness,Chloé Patel,"Isabella Johnson, Sofia García, Amélie Patel, Amélie Patel","Australia, South Korea","November 22, 2012",2004,TV-MA,97 min,"Romantic Movies, International Movies, TV Dramas",A gripping story about survival.
s75,TV Show,Last War,,"Priya García, Ingrid Wang, David García, David Silva","United States, China","April 03, 2024",2021,G,3 Seasons,LGBTQ Movies,A heartwarming story about adventure.
s76,Movie,Forgotten Kingdom,Maria Kumar,"James López, Isabella Petit, Lin Martinez",Canada,"January 16, 2009",2003,PG-13,130 min,"Comedies, British TV Shows",A hilarious story about family.
s77,Movie,Eternal Mother,Emma Petit,"Olivier Müller, Tom Wang, Raj Rodriguez, Isabella Johnson, Ingrid Müller, James Silva","Germany, United States","December 13, 2013",2002,TV-PG,73 min,Action & Adventure,A gripping story about revenge.
s78,Movie,The Infinite Story,Olivier Tanaka,"Lin Rossi, Fatima Petit, Aoi Wang, Maria Andersen, Carlos López",United States,"June 01, 2024",2024,PG,146 min,"International TV Shows, Horror Movies",A hilarious story about adventure.
s79,TV Show,The Dark Detective,,"Tom Kim, Alice Petit, Hiroshi García, Fatima Silva, Yuki Rossi, Emma García",Argentina,"March 15, 2023",2023,TV-MA,1 Season,International Movies,A mysterious story about revenge.
s80,Movie,Dream of War,Martin Kim,"Sofia Yamamoto, Olivier Suzuki, Priya Okonkwo",United States,"February 09, 2021",2008,TV-MA,65 min,"Kids' TV, LGBTQ Movies",A thrilling story about family.
s81,Movie,Deadly Queen,Ravi Patel,"Felipe Kim, Chen Silva, Amélie Yamamoto, Noah Brown, Emma Petit, James García, Isabella Kim, Tom López",United States,"March 18, 2024",2024,TV-MA,129 min,Dramas,A thrilling story about friendship.
s82,Movie,Dark Murder,Tom Müller,"Martin Suzuki, Felipe Kim, Ingrid Tanaka, Fatima Kumar","Canada, United Kingdom","April 23, 2020",1998,TV-14,113 min,Action & Adventure,A heartwarming story about adventure.
s83,Movie,Empire of Dream,Tom Müller,"David Yamamoto, Lin Khan, Camila Martinez, Priya Smith, Fatima Wang",United States,"May 27, 2020",2020,TV-MA,80 min,"TV Action & Adventure, Sports Movies",A gripping story about love.
s84,Movie,The Broken Heart,Ahmed Tanaka,"Felipe Suzuki, Hiroshi Wang, Raj Suzuki, Alice García, Ravi Kim, Chloé Rodriguez, Chen Andersen",,"September 15, 2017",2017,TV-14,84 min,"Reality TV, Anime Series",A heartwarming story about friendship.
s85,TV Show,Friend: Dark Stranger,Fatima Smith,"Yuki Rodriguez, Lin Kumar, Camila Nakamura, Diego Patel, Ahmed Andersen",Argentina,"June 07, 2023",2014,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas, Anime Series",A thrilling story about family.
s86,Movie,Fire of King,Kwame Nakamura,"Tom Andersen, Tom Wang, David Tanaka",United States,"March 29, 2024",2024,TV-14,101 min,"Action & Adventure, Korean TV Shows, Horror Movies",A heartwarming story about survival.
s87,TV Show,Golden Paradise,Raj Nakamura,"Lin García, Kwame Khan, Carlos Martinez, Diego Martinez, Amélie Martinez, Chloé Brown, Chen Petit, Tom Kim","Canada, Australia","January 31, 2022",2007,TV-MA,1 Season,"Thrillers, British TV Shows",A thrilling story about love.
s88,Movie,Family: Last House,Raj Silva,"Isabella García, Ravi Silva, Chen Petit, Felipe López, David García, Carlos Martinez",Germany,"January 19, 2022",2022,TV-PG,124 min,"British TV Shows, Crime TV Shows",A thrilling story about friendship.
s89,Movie,Secret City,Camila Khan,"Yuki Martinez, Aoi Suzuki, Emma Patel, Raj Petit, Kwame Khan, Camila Kumar, Ahmed García",Philippines,"October 05, 2009",2006,TV-MA,101 min,Romantic Movies,A hilarious story about adventure.
s90,TV Show,War: Broken War,,"Noah Rodriguez, Hiroshi Johnson, Raj Patel",Mexico,"April 12, 2024",2024,TV-PG,4 Seasons,Dramas,A mysterious story about friendship.
s91,Movie,City of Story,,"Tom Petit, Alice García, Amélie Rossi","India, United States","December 22, 2011",2002,TV-PG,114 min,"TV Thrillers, Comedies, Horror Movies",A gripping story about love.
s92,TV Show,The Sacred Friend,,"Noah Khan, Fatima Andersen, Emma Wang, Olivier Rodriguez, Noah Martinez, Kwame Rossi, Camila Khan, Ahmed Martinez",United States,"May 17, 2017",2017,TV-Y7,6 Seasons,Docuseries,A heartwarming story about friendship.
s93,Movie,Story: Sacred Love,Raj Khan,"Ravi Suzuki, Yuki López, Liam Suzuki, Maria Rossi, Emma Tanaka, Maria Suzuki",United States,"August 18, 2013",1999,TV-Y,82 min,"TV Action & Adventure, Kids' TV, TV Thrillers",A heartwarming story about adventure.
s94,Movie,Wild Story,Diego Kumar,"Camila Yamamoto, Aoi Kim, Tom Rodriguez",Indonesia,"May 17, 2020",2006,TV-PG,94 min,"Comedies, Crime TV Shows",A mysterious story about survival.
s95,Movie,Queen of Paradise,Camila Wang,"Kwame Silva, Emma Silva, Chloé Kim, Ahmed Müller, Noah Wang, Ahmed Kim, Chloé Andersen, Amélie Kim",Spain,"July 20, 2017",2017,TV-MA,101 min,"Children & Family Movies, Horror Movies",A gripping story about family.
s96,Movie,Legend: Forgotten Witness,Lin Nakamura,"Hiroshi Silva, Fatima Suzuki, Noah García, Chen Kumar",Japan,"January 17, 2013",1999,TV-14,142 min,"Reality TV, Documentaries, Anime Series",A mysterious story about love.
s97,Movie,Sacred Friend,Martin Johnson,"David Martinez, Noah Silva, David Khan, Diego Kim, Noah Nakamura","United States, China","January 12, 2020",2019,TV-G,78 min,"Horror Movies, Docuseries",A thrilling story about family.
s98,Movie,Beautiful House,Amélie Rodriguez,"Maria Petit, Ingrid Nakamura, Amélie Martinez, Tom Rodriguez, Chloé Smith, Camila García, Noah Petit, Raj Kim",United States,"April 27, 2014",2012,PG-13,103 min,"Spanish-Language TV Shows, British TV Shows, Sci-Fi & Fantasy",A thrilling story about adventure.
s99,Movie,The Secret Story,Isabella Petit,"Carlos Khan, Amélie Müller, Felipe Martinez, Tom Okonkwo, Alice Petit, Amélie Tanaka, Isabella Okonkwo",United Kingdom,"May 16, 2023",2009,TV-PG,125 min,TV Dramas,A thrilling story about love.
s100,Movie,Lost House,Isabella Rodriguez,"Emma Tanaka, Tom Johnson, Amélie López",France,"September 11, 2020",2005,PG,166 min,Sci-Fi & Fantasy,A heartwarming story about revenge.
s101,Movie,King: Last Family,Maria Smith,"Emma Khan, Fatima Rossi, Amélie López",United Kingdom,,2023,TV-14,45 min,"Sci-Fi & Fantasy, Independent Movies",A gripping story about revenge.
s102,Movie,Broken Love,,"Maria Yamamoto, Tom Wang, Sofia Silva, Olivier Khan, Hiroshi Martinez, Priya Tanaka, Sofia Okonkwo, Carlos Müller",Italy,"May 24, 2009",2002,PG-13,98 min,"Dramas, Reality TV",A thrilling story about adventure.
s103,Movie,Broken Stranger,Chloé Rossi,"Ahmed Brown, Maria Kim, Carlos Rossi, Liam Patel, Fatima Silva","United States, China","June 21, 2022",2011,PG,123 min,"Music & Musicals, International Movies",A thrilling story about adventure.
s104,Movie,Revenge: Broken Paradise,Amélie Smith,"Emma Johnson, Alice Okonkwo, Noah Rossi, Yuki Johnson, Sofia Martinez","United States, United Kingdom","September 27, 2014",2014,TV-14,89 min,"Classic Movies, Romantic Movies, TV Horror",A mysterious story about family.
s105,Movie,Stranger: Lost Paradise,Chloé Müller,"Chen Yamamoto, Chloé Suzuki, Chen Martinez, Martin Patel","Germany, India","September 11, 2021",2019,TV-MA,99 min,"TV Comedies, Horror Movies",A mysterious story about family.
s106,Movie,The Final Mountain,Ravi Suzuki,"Tom Suzuki, James García, James Kim, Carlos Patel",South Korea,"February 04, 2021",2000,NR,115 min,"Children & Family Movies, TV Thrillers, International Movies",A gripping story about survival.
s107,Movie,Fire of Queen,Camila Silva,"Kwame López, Olivier Kim, Priya Petit",Australia,"March 06, 2024",2024,TV-MA,85 min,"Crime TV Shows, Children & Family Movies",A heartwarming story about revenge.
s108,Movie,War of Witness,Diego Müller,"Carlos Johnson, Fatima Andersen, Chen Rossi, Chloé Silva, Lin Johnson, Olivier Yamamoto, Ingrid Yamamoto","India, Australia","March 05, 2014",2005,PG,107 min,"Reality TV, Comedies, TV Action & Adventure",A gripping story about revenge.
s109,Movie,The Last Fire,Ravi Nakamura,"Raj Tanaka, Yuki Suzuki, Emma Nakamura, Liam Kim, Amélie Brown, Alice Rodriguez, Alice Müller",South Korea,"November 09, 2022",1995,PG-13,100 min,"Crime TV Shows, British TV Shows, Anime Series",A hilarious story about family.
s110,Movie,War of Kingdom,Tom Brown,"Emma Nakamura, Priya Johnson, Amélie Suzuki, Emma Martinez, James Andersen, Chen Petit, Priya Okonkwo",United States,"November 02, 2011",2008,TV-MA,117 min,Anime Series,A heartwarming story about adventure.
s111,Movie,War of House,Fatima Wang,,Canada,"January 07, 2015",2015,R,130 min,Docuseries,A mysterious story about survival.
s112,TV Show,Queen: Dangerous Paradise,,"Lin García, Liam López, Aoi Andersen, Fatima Rodriguez",Nigeria,"February 23, 2023",2023,TV-14,1 Season,"TV Dramas, Sports Movies",A heartwarming story about adventure.
s113,TV Show,Ocean: Forgotten Love,,"Fatima Johnson, Kwame García, Chloé Martinez, Tom Tanaka, Ingrid Tanaka, David Okonkwo",Spain,"February 12, 2019",2005,TV-14,2 Seasons,"Sports Movies, TV Thrillers",A mysterious story about love.
