id_transaction,date,id_client,id_produit,nom_produit,categorie,quantite,prix_unitaire,montant_total,region,mode_paiement,statut
T00055,2024-09-24,C0299,P005,Ballon de foot,Sport,1,26.57,26.57,Auvergne-Rhône-Alpes,PayPal,Livrée
T00056,2024-08-30,C0281,P007,Casque Bluetooth,Électronique,1,148.59,148.59,Occitanie,Carte bancaire,Livrée
T00057,2024-04-11,C0006,P003,Pull laine merinos,Vêtements,1,73.59,73.59,,Carte bancaire,En cours
T00058,2024-03-08,C0278,P010,Livre cuisine italienne,LIVRES,1,26.0,26.0,Occitanie,Chèque cadeau,Livrée
T00059,2024-02-01,C0113,P005,Ballon de foot,Sport,3,26.17,78.51,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00060,2024-07-15,C0050,P004,Chaussures running,Sport,1,109.29,109.29,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00061,2024-07-07,C0140,P009,Câble USB-C,Électronique,1,13.56,13.56,Grand Est,Carte bancaire,Livrée
T00062,2024-04-04,C0180,P002,Jeans slim,Vêtements,1,65.84,65.84,Hauts-de-France,Carte bancaire,Livrée
T00063,2024-11-02,C0157,P013,Crème hydratante,Beauté,1,32.11,32.11,PACA,Carte bancaire,Livrée
T00064,2024-05-24,C0262,P003,Pull laine merinos,Vêtements,2,81.76,163.52,Île-de-France,Carte bancaire,Livrée
T00065,2024-07-28,C0188,P005,Ballon de foot,Sport,1,26.56,26.56,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00066,2024-10-23,C0282,P011,Roman policier,Livres,5,22.65,113.25,Occitanie,Carte bancaire,Livrée
T00067,2024-10-12,C0053,P002,Jeans slim,Vêtements,1,64.84,64.84,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00068,2024-02-20,C0138,P013,Crème hydratante,Beauté,1,30.45,30.45,Île-de-France,Carte bancaire,Livrée
T00069,2024-04-29,C0111,P006,Tapis de yoga,Sport,1,36.88,36.88,Pays de la Loire,Carte bancaire,Livrée
T00070,2024-10-21,C0289,P002,Jeans slim,Vêtements,2,56.33,112.66,Île-de-France,Carte bancaire,Livrée
T00071,2024-11-08,C0095,P014,Parfum floral,Beauté,2,72.9,145.8,Occitanie,PayPal,En cours
T00072,2024-05-26,C0148,P002,Jeans slim,Vêtements,1,67.47,67.47,PACA,PayPal,Livrée
T00073,2024-06-24,C0105,P008,Enceinte portable,Électronique,1,80.22,80.22,Île-de-France,Virement,Livrée
T00074,2024-06-19,C0066,P007,Casque Bluetooth,Électronique,80,152.39,12191.2,Île-de-France,Carte bancaire,Livrée
T00075,2024-07-25,C0124,P005,Ballon de foot,Sport,2,30.89,61.78,Bretagne,Carte bancaire,Livrée
T00076,2024-04-18,C0137,P001,T-shirt coton bio,Vêtements,3,25.41,76.23,Auvergne-Rhône-Alpes,Virement,Livrée
T00077,2024-02-28,C0126,P009,Câble USB-C,ÉLECTRONIQUE,3,14.32,42.96,Île-de-France,Virement,Livrée
T00078,2024-11-28,C0010,P014,Parfum floral,Beauté,1,74.79,74.79,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00079,2024-09-11,C0112,P003,Pull laine merinos,Vêtements,1,81.9,81.9,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00080,2024-09-23,C0040,P007,Casque Bluetooth,Électronique,2,155.06,310.12,Occitanie,Carte bancaire,Livrée
T00081,2024-10-03,C0119,P004,Chaussures running,Sport,1,115.9,115.9,Grand Est,Carte bancaire,Livrée
T00082,2024-01-17,C0059,P012,BD jeunesse,Livres,1,18.46,18.46,Île-de-France,PayPal,Livrée
T00083,2024-07-15,C0093,P015,Rouge à lèvres,Beauté,1,21.71,21.71,Île-de-France,Carte bancaire,Livrée
T00084,2024-09-22,C0090,P002,Jeans slim,Vêtements,3,64.44,193.32,Bretagne,Carte bancaire,Annulée
T00085,2024-06-13,C0230,P006,Tapis de yoga,Sport,1,35.48,35.48,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00086,2024-01-16,C0078,P006,Tapis de yoga,Sport,1,41.4,41.4,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00087,2024-05-26,C0156,P013,Crème hydratante,Beauté,1,33.6,33.6,Pays de la Loire,Carte bancaire,Livrée
T00088,2024-03-27,C0159,P004,Chaussures running,Sport,1,114.37,114.37,PACA,Carte bancaire,Livrée
T00089,2024-06-05,C0041,P010,Livre cuisine italienne,LIVRES,2,26.1,52.2,Occitanie,Carte bancaire,Livrée
T00090,2024-04-30,C0110,P008,Enceinte portable,Électronique,1,81.73,81.73,Grand Est,Carte bancaire,Livrée
T00091,2024-06-22,C0121,P007,Casque Bluetooth,Électronique,1,134.17,134.17,Île-de-France,Carte bancaire,Livrée
T00092,2024-03-04,C0268,P009,Câble USB-C,Électronique,1,14.79,14.79,Bretagne,Carte bancaire,Annulée
T00093,2024-01-22,C0261,P009,Câble USB-C,Électronique,1,13.43,13.43,Grand Est,Carte bancaire,Livrée
T00094,2024-10-26,C0178,P010,Livre cuisine italienne,Livres,2,26.55,53.1,Pays de la Loire,Carte bancaire,Livrée
T00095,2024-05-01,C0256,P012,BD jeunesse,Livres,1,17.44,17.44,Auvergne-Rhône-Alpes,PayPal,Livrée
T00096,2024-04-29,C0245,P003,Pull laine merinos,Vêtements,1,84.75,84.75,Nouvelle-Aquitaine,PayPal,Livrée
T00097,2024-02-12,C0054,P005,Ballon de foot,Sport,1,29.69,29.69,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00098,2024-03-27,C0128,P008,Enceinte portable,Électronique,2,72.15,144.3,Hauts-de-France,PayPal,Livrée
T00099,2024-07-08,C0092,P009,Câble USB-C,Électronique,2,15.74,31.48,Bretagne,PayPal,Livrée
T00100,2024-12-02,C0063,P004,Chaussures running,Sport,1,113.08,113.08,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00101,2024-01-09,C0010,P009,Câble USB-C,Électronique,1,14.34,14.34,Occitanie,Virement,En cours
T00102,2024-08-17,C0179,P011,Roman policier,Livres,1,22.47,22.47,Île-de-France,Carte bancaire,Livrée
T00103,2024-12-13,C0062,P015,Rouge à lèvres,Beauté,1,22.31,22.31,Pays de la Loire,Carte bancaire,Livrée
T00104,2024-06-26,C0255,P011,Roman policier,Livres,4,19.77,79.08,PACA,PayPal,Livrée
T00105,2024-05-23,C0149,P001,T-shirt coton bio,Vêtements,1,24.68,24.68,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00106,2024-04-06,C0074,P015,Rouge à lèvres,Beauté,1,19.58,19.58,Bretagne,Carte bancaire,Livrée
T00107,2024-04-24,C0289,P002,Jeans slim,Vêtements,1,64.62,64.62,Île-de-France,Carte bancaire,Livrée
T00108,2024-09-18,C0100,P008,Enceinte portable,Électronique,1,74.12,74.12,Île-de-France,Carte bancaire,Livrée
T00109,2024-09-21,C0038,P002,Jeans slim,Vêtements,1,60.84,60.84,Nouvelle-Aquitaine,PayPal,Livrée
T00110,2024-03-15,C0180,P015,Rouge à lèvres,Beauté,1,21.74,21.74,Pays de la Loire,PayPal,Livrée
T00111,2024-03-03,C0218,P013,Crème hydratante,Beauté,1,34.06,34.06,Hauts-de-France,PayPal,Livrée
T00112,2024-08-29,C0108,P004,Chaussures running,Sport,4,111.06,444.24,Grand Est,Carte bancaire,Livrée
T00113,2024-01-14,C0235,P005,Ballon de foot,Sport,3,25.74,77.22,Grand Est,Carte bancaire,Livrée
T00114,2024-12-18,C0125,P003,Pull laine merinos,Vêtements,1,87.89,87.89,Île-de-France,Carte bancaire,Livrée
T00115,2024-06-30,C0237,P007,Casque Bluetooth,Électronique,1,153.67,153.67,Bretagne,Carte bancaire,Livrée
T00116,2024-11-29,C0102,P012,BD jeunesse,Livres,2,15.95,31.9,Auvergne-Rhône-Alpes,PayPal,Livrée
T00117,2024-05-05,C0014,P004,Chaussures running,Sport,3,124.43,373.29,Pays de la Loire,Carte bancaire,Livrée
T00118,2024-01-01,C0096,P015,Rouge à lèvres,Beauté,1,21.72,21.72,Nouvelle-Aquitaine,Virement,Livrée
T00119,2024-09-16,C0062,P002,Jeans slim,Vêtements,1,64.82,64.82,Auvergne-Rhône-Alpes,Carte bancaire,Retournée
T00120,2024-02-22,C0262,P011,Roman policier,Livres,1,22.39,22.39,Nouvelle-Aquitaine,Carte bancaire,En cours
T00121,2024-07-26,C0069,P007,Casque Bluetooth,Électronique,1,138.58,138.58,Occitanie,Carte bancaire,Livrée
T00122,2024-10-13,C0288,P005,Ballon de foot,Sport,1,29.96,29.96,Hauts-de-France,Carte bancaire,Livrée
T00123,2024-08-23,C0040,P015,Rouge à lèvres,Beauté,1,20.36,20.36,Hauts-de-France,PayPal,Retournée
T00124,2024-07-20,C0180,P002,Jeans slim,Vêtements,1,57.38,57.38,Bretagne,Carte bancaire,Livrée
T00125,2024-01-13,C0028,P009,Câble USB-C,Électronique,2,14.39,28.78,Île-de-France,Carte bancaire,Livrée
T00126,2024-10-20,C0025,P005,Ballon de foot,Sport,1,26.11,26.11,Grand Est,PayPal,Livrée
T00127,2024-11-08,C0205,P006,Tapis de yoga,SPORT,1,40.54,40.54,Île-de-France,PayPal,Livrée
T00128,2024-07-10,C0209,P004,Chaussures running,Sport,3,114.69,344.07,Nouvelle-Aquitaine,Virement,Annulée
T00129,2024-05-20,C0249,P003,Pull laine merinos,Vêtements,1,78.18,78.18,Hauts-de-France,Carte bancaire,Annulée
T00130,2024-10-19,C0105,P006,Tapis de yoga,Sport,1,41.53,41.53,Île-de-France,Carte bancaire,Livrée
T00131,2024-07-05,C0102,P011,Roman policier,Livres,1,20.59,20.59,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00132,2024-11-07,C0131,P006,Tapis de yoga,Sport,1,40.48,40.48,Hauts-de-France,Carte bancaire,Livrée
T00133,2024-11-04,C0203,P004,Chaussures running,Sport,2,121.82,243.64,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00134,2024-06-30,C0188,P010,Livre cuisine italienne,Livres,2,24.5,49.0,Occitanie,PayPal,Livrée
T00135,2024-06-25,C0142,P002,Jeans slim,Vêtements,1,63.13,63.13,Île-de-France,Carte bancaire,Livrée
T00136,2024-04-27,C0199,P013,Crème hydratante,Beauté,1,34.28,34.28,Nouvelle-Aquitaine,PayPal,Livrée
T00137,2024-12-24,C0176,P004,Chaussures running,Sport,1,117.61,117.61,Nouvelle-Aquitaine,Virement,En cours
T00138,2024-09-25,C0280,P008,Enceinte portable,Électronique,2,69.11,138.22,Auvergne-Rhône-Alpes,,Livrée
T00139,2024-11-10,C0211,P015,Rouge à lèvres,Beauté,1,21.09,21.09,Hauts-de-France,Carte bancaire,En cours
T00140,2024-01-13,C0039,P001,T-shirt coton bio,Vêtements,1,22.0,22.0,Hauts-de-France,PayPal,Livrée
T00141,2024-07-01,C0081,P002,Jeans slim,Vêtements,1,68.17,68.17,Grand Est,Carte bancaire,Livrée
T00142,2024-05-22,C0069,P013,Crème hydratante,Beauté,1,33.6,33.6,Île-de-France,Virement,Livrée
T00143,2024-01-31,C0242,P014,Parfum floral,Beauté,1,73.04,73.04,Nouvelle-Aquitaine,Virement,Livrée
T00144,2024-06-16,C0218,P001,T-shirt coton bio,Vêtements,2,24.33,48.66,Nouvelle-Aquitaine,Carte bancaire,Annulée
T00145,2024-09-02,C0268,P002,Jeans slim,VÊTEMENTS,2,60.52,121.04,Bretagne,Carte bancaire,Livrée
T00146,2024-11-26,C0181,P002,Jeans slim,Vêtements,1,67.0,67.0,Grand Est,Carte bancaire,Livrée
T00147,2024-10-27,C0055,P003,Pull laine merinos,Vêtements,1,74.4,74.4,Île-de-France,Carte bancaire,Livrée
T00148,2024-07-12,C0093,P006,Tapis de yoga,SPORT,1,41.08,41.08,Île-de-France,Chèque cadeau,Livrée
T00149,2024-10-17,C0131,P001,T-shirt coton bio,Vêtements,1,23.06,23.06,Île-de-France,Carte bancaire,Livrée
T00150,2024-02-04,C0296,P011,Roman policier,Livres,1,22.53,22.53,Auvergne-Rhône-Alpes,Virement,Annulée
T00151,2024-07-14,C0291,P002,Jeans slim,Vêtements,1,67.32,67.32,Grand Est,Carte bancaire,Livrée
T00152,2024-06-21,C0221,P012,BD jeunesse,Livres,1,16.04,16.04,Île-de-France,Chèque cadeau,Livrée
T00153,2024-09-19,C0198,P011,Roman policier,Livres,3,20.59,61.77,Grand Est,Carte bancaire,Livrée
T00154,2024-04-03,C0003,P009,Câble USB-C,Électronique,2,15.14,30.28,Hauts-de-France,PayPal,Livrée
T00155,2024-01-19,C0216,P007,Casque Bluetooth,Électronique,4,152.01,608.04,Nouvelle-Aquitaine,PayPal,Livrée
T00156,2024-05-05,C0184,P015,Rouge à lèvres,Beauté,1,22.67,22.67,Île-de-France,Carte bancaire,Livrée
T00157,2024-02-21,C0016,P014,Parfum floral,Beauté,2,72.33,144.66,Grand Est,Carte bancaire,Livrée
T00158,2024-10-07,C0122,P004,Chaussures running,Sport,1,108.3,108.3,Île-de-France,Carte bancaire,Livrée
T00159,2024-07-17,C0284,P012,BD jeunesse,Livres,1,17.97,17.97,Auvergne-Rhône-Alpes,Chèque cadeau,Livrée
T00160,2024-08-12,C0156,P012,BD jeunesse,Livres,1,15.36,15.36,Occitanie,Carte bancaire,Livrée
T00161,2024-11-23,C0050,P002,Jeans slim,Vêtements,2,64.29,128.58,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00162,2024-02-22,C0011,P002,Jeans slim,Vêtements,1,67.9,67.9,Île-de-France,Virement,Livrée
T00163,2024-03-30,C0179,P001,T-shirt coton bio,Vêtements,1,25.86,25.86,PACA,PayPal,Livrée
T00164,2024-12-05,C0096,P010,Livre cuisine italienne,Livres,4,27.9,111.6,PACA,Carte bancaire,Livrée
T00165,2024-03-11,C0216,P014,Parfum floral,Beauté,1,69.04,69.04,Occitanie,Chèque cadeau,Livrée
T00166,2024-06-11,C0082,P005,Ballon de foot,Sport,1,26.65,26.65,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00167,2024-10-25,C0034,P003,Pull laine merinos,Vêtements,2,78.89,157.78,PACA,Carte bancaire,Livrée
T00168,2024-05-07,C0034,P013,Crème hydratante,Beauté,1,33.3,33.3,Île-de-France,Carte bancaire,Retournée
T00169,2024-10-09,C0252,P004,Chaussures running,Sport,1,108.13,108.13,Île-de-France,PayPal,Livrée
T00170,2024-04-25,C0036,P011,Roman policier,LIVRES,1,20.58,20.58,Île-de-France,Carte bancaire,Livrée
T00171,2024-11-14,C0025,P010,Livre cuisine italienne,Livres,1,26.91,26.91,Occitanie,Carte bancaire,Livrée
T00172,2024-12-05,C0160,P004,Chaussures running,Sport,1,122.3,122.3,PACA,Carte bancaire,Annulée
T00173,2024-03-20,C0001,P014,Parfum floral,Beauté,2,78.7,157.4,Occitanie,Carte bancaire,Livrée
T00174,2024-06-07,C0004,P008,Enceinte portable,Électronique,1,78.21,78.21,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00175,2024-08-28,C0016,P012,BD jeunesse,Livres,1,17.93,17.93,Pays de la Loire,Carte bancaire,Livrée
T00176,2024-06-28,C0110,P013,Crème hydratante,Beauté,2,31.6,63.2,Auvergne-Rhône-Alpes,PayPal,Livrée
T00177,2024-08-22,C0192,P014,Parfum floral,Beauté,4,76.64,306.56,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00178,2024-06-01,C0176,P014,Parfum floral,Beauté,1,72.07,72.07,Île-de-France,Chèque cadeau,En cours
T00179,2024-10-31,C0096,P010,Livre cuisine italienne,Livres,1,24.85,24.85,Occitanie,Carte bancaire,Livrée
T00180,2024-03-22,C0137,P005,Ballon de foot,Sport,1,25.6,25.6,Île-de-France,Carte bancaire,Livrée
T00181,2024-05-30,C0066,P004,Chaussures running,Sport,1,107.24,107.24,Île-de-France,,Livrée
T00182,2024-02-26,C0221,P008,Enceinte portable,Électronique,1,78.52,78.52,Île-de-France,Carte bancaire,Livrée
T00183,2024-01-12,C0042,P010,Livre cuisine italienne,Livres,1,29.22,29.22,Île-de-France,Carte bancaire,Livrée
T00184,2024-11-29,C0160,P002,Jeans slim,Vêtements,1,67.26,67.26,Île-de-France,Carte bancaire,Livrée
T00185,2024-04-07,C0244,P014,Parfum floral,Beauté,1,70.98,70.98,Grand Est,Carte bancaire,Livrée
T00186,2024-08-01,C0076,P005,Ballon de foot,Sport,1,29.44,29.44,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00187,2024-04-20,C0134,P007,Casque Bluetooth,Électronique,1,140.28,140.28,,Carte bancaire,Livrée
T00188,2024-03-21,C0124,P004,Chaussures running,Sport,1,103.66,103.66,Île-de-France,Carte bancaire,Livrée
T00189,2024-10-05,C0226,P010,Livre cuisine italienne,Livres,1,27.49,27.49,Grand Est,Virement,En cours
T00190,2024-04-14,C0068,P006,Tapis de yoga,Sport,2,41.31,82.62,Île-de-France,Carte bancaire,Livrée
T00191,2024-02-17,C0054,P001,T-shirt coton bio,Vêtements,1,21.9,21.9,Île-de-France,Carte bancaire,Annulée
T00192,2024-06-03,C0028,P015,Rouge à lèvres,Beauté,1,20.05,20.05,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00193,2024-05-04,C0292,P001,T-shirt coton bio,Vêtements,1,25.94,25.94,,Carte bancaire,Livrée
T00194,2024-03-25,C0178,P001,T-shirt coton bio,Vêtements,1,26.0,26.0,Île-de-France,Carte bancaire,Livrée
T00195,2024-03-15,C0238,P011,Roman policier,Livres,1,22.63,22.63,Île-de-France,Carte bancaire,Livrée
T00196,2024-02-07,C0260,P015,Rouge à lèvres,Beauté,1,21.12,21.12,Grand Est,Carte bancaire,Livrée
T00197,2024-03-27,C0097,P012,BD jeunesse,Livres,1,18.69,18.69,Île-de-France,Carte bancaire,Annulée
T00198,2024-11-18,C0047,P006,Tapis de yoga,Sport,1,39.88,39.88,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00199,2024-10-31,C0177,P008,Enceinte portable,Électronique,1,77.58,77.58,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00200,2024-05-03,C0258,P013,Crème hydratante,Beauté,1,29.87,29.87,Pays de la Loire,Carte bancaire,Livrée
T00201,2024-06-15,C0018,P001,T-shirt coton bio,Vêtements,1,21.27,21.27,Île-de-France,Carte bancaire,Annulée
T00202,2024-02-02,C0156,P001,T-shirt coton bio,Vêtements,1,23.63,23.63,PACA,Carte bancaire,Livrée
T00203,2024-09-23,C0056,P014,Parfum floral,Beauté,1,65.93,65.93,PACA,Carte bancaire,Livrée
T00204,2024-04-26,C0033,P006,Tapis de yoga,Sport,1,34.68,34.68,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00205,2024-05-22,C0240,P007,Casque Bluetooth,Électronique,2,154.61,309.22,Île-de-France,Carte bancaire,Livrée
T00206,2024-08-06,C0253,P013,Crème hydratante,Beauté,1,30.32,30.32,PACA,Carte bancaire,Livrée
T00207,2024-01-05,C0223,P002,Jeans slim,Vêtements,2,61.38,122.76,Île-de-France,Carte bancaire,Retournée
T00208,2024-04-02,C0016,P003,Pull laine merinos,Vêtements,1,76.29,76.29,Hauts-de-France,Carte bancaire,Livrée
T00209,2024-10-10,C0297,P013,Crème hydratante,Beauté,1,34.55,34.55,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00210,2024-11-28,C0111,P011,Roman policier,Livres,3,22.01,66.03,Nouvelle-Aquitaine,PayPal,Livrée
T00211,2024-10-15,C0109,P003,Pull laine merinos,Vêtements,1,81.74,81.74,PACA,Carte bancaire,Livrée
T00212,2024-08-19,C0085,P001,T-shirt coton bio,Vêtements,1,24.32,24.32,Occitanie,Carte bancaire,Livrée
T00213,2024-06-25,C0019,P012,BD jeunesse,Livres,1,18.33,18.33,Nouvelle-Aquitaine,PayPal,Livrée
T00214,2024-10-04,C0222,P008,Enceinte portable,Électronique,1,80.49,80.49,Auvergne-Rhône-Alpes,Virement,Livrée
T00215,2024-11-07,C0151,P010,Livre cuisine italienne,Livres,1,25.78,25.78,Île-de-France,PayPal,Annulée
T00216,2024-12-18,C0002,P008,Enceinte portable,Électronique,1,80.11,80.11,Grand Est,Carte bancaire,Livrée
T00217,2024-11-17,C0037,P006,Tapis de yoga,Sport,1,35.15,35.15,Nouvelle-Aquitaine,Virement,Livrée
T00218,2024-09-07,C0178,P006,Tapis de yoga,Sport,1,40.16,40.16,Grand Est,Carte bancaire,Retournée
T00219,2024-10-31,C0264,P004,Chaussures running,Sport,1,110.3,110.3,Île-de-France,PayPal,Livrée
T00220,2024-05-04,C0012,P014,Parfum floral,Beauté,1,65.07,65.07,Auvergne-Rhône-Alpes,Virement,Livrée
T00221,2024-01-24,C0186,P015,Rouge à lèvres,Beauté,1,21.3,21.3,Occitanie,PayPal,Livrée
T00222,2024-03-04,C0246,P010,Livre cuisine italienne,Livres,1,27.91,27.91,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
