id_client,anciennete_jours,nb_commandes_total,montant_total_eur,panier_moyen_eur,jours_depuis_derniere_cmd,nb_categories_achetees,taux_retour_pct,nb_avis_laisses,note_moyenne_donnee
D00699,620,8,285.15,66.27,657,4,2.69,4,3.57
D00822,1567,9,312.13,48.78,200,3,21.04,1,3.06
R00579,1199,1,119.67,29.89,219,1,8.56,0,2.71
D00900,1795,11,100.0,31.6,257,3,19.39,3,3.36
R00188,771,2,24.33,24.04,193,3,34.17,0,2.19
D00239,1460,11,370.65,39.9,559,4,,2,4.15
P00875,69,5,84.67,59.63,15,2,14.19,2,4.69
D00581,1724,11,559.44,24.76,406,4,18.5,3,3.87
P00788,33,5,169.64,31.33,13,3,9.65,1,3.66
P00476,156,3,149.88,37.8,19,1,5.65,0,3.85
F00820,967,24,318.02,41.07,82,2,6.33,3,3.7
D00908,766,5,249.77,31.58,290,3,14.45,2,3.54
R00374,1129,1,69.24,33.36,366,2,24.36,0,3.25
R00603,1096,4,84.74,34.83,159,1,14.84,2,2.09
F01261,743,22,762.37,78.95,43,4,12.13,8,3.65
C00009,1874,97,2906.03,143.29,26,14,0.76,18,4.81
P00795,124,7,201.57,58.55,21,3,16.39,4,4.87
P00748,122,4,220.77,46.36,8,3,4.87,4,4.9
D00665,577,3,447.29,18.52,293,2,11.07,4,3.15
C00145,1896,70,3871.54,122.21,6,8,5.24,20,4.96
P00005,176,4,106.54,50.69,17,3,4.18,2,3.32
D00144,568,7,732.33,66.29,245,5,19.4,0,2.98
F00242,232,8,726.92,76.48,108,3,4.1,3,
F00529,909,14,513.11,45.49,71,4,1.03,1,4.03
C00152,1812,75,1809.78,137.39,7,12,4.42,12,4.42
D00592,1734,10,712.45,58.02,588,3,17.66,4,3.54
F00453,261,14,523.62,61.92,72,4,11.66,4,3.74
F00991,557,13,640.09,58.46,66,3,0.31,1,3.92
D00009,632,6,411.16,58.94,740,2,19.26,1,4.46
F01430,724,17,705.84,77.54,105,3,6.31,6,4.15
D00419,642,10,335.55,93.35,715,2,0.81,2,3.74
F01208,278,14,462.14,60.25,97,4,4.72,0,4.08
P00597,113,2,145.13,52.42,8,4,19.11,3,3.68
D00040,1421,7,216.59,44.33,376,4,4.26,0,3.63
C00473,1600,87,2408.15,129.43,8,13,3.0,24,4.38
D00290,539,10,281.84,58.85,713,4,0.23,4,4.22
D01075,1764,8,613.36,62.8,400,5,21.95,2,3.19
D00497,1726,9,543.81,32.47,674,4,0.01,0,4.06
C00280,1676,59,2995.97,91.72,9,10,3.36,11,4.64
F01142,1314,12,329.19,45.92,93,3,4.22,4,4.54
R00325,707,4,48.49,33.16,177,3,13.73,2,2.78
P00787,152,3,203.72,61.6,13,2,0.19,1,4.95
F01342,920,10,627.87,49.26,72,4,14.15,0,4.08
C00101,1515,20,2330.5,109.48,20,8,3.61,5,4.02
P00705,127,5,164.15,83.47,11,4,15.18,4,4.29
D00571,1758,7,288.66,71.4,752,2,14.33,0,3.08
D00685,1461,3,238.43,57.95,737,4,,0,2.66
D00662,789,5,473.44,35.72,612,4,15.6,2,4.28
C00531,1378,59,2336.3,138.9,43,7,1.08,7,4.22
F01287,317,23,393.8,48.33,23,7,2.21,0,3.99
F00082,604,7,588.9,71.93,57,2,5.56,6,4.51
D00795,1679,3,246.18,73.05,273,2,1.14,1,3.94
D00945,538,3,330.11,61.9,503,4,14.98,1,3.28
R00367,480,2,40.64,30.0,166,1,11.65,0,2.06
F01419,1154,12,561.95,39.64,81,6,2.75,8,4.53
F00497,368,6,783.08,72.35,44,2,12.07,0,3.94
F00230,1255,20,706.53,52.77,34,5,7.1,5,3.87
P00706,142,5,166.66,69.36,6,3,,2,4.77
D00830,867,14,631.46,96.61,484,3,10.48,1,3.94
R00082,537,2,131.38,20.84,203,3,5.67,0,3.83
D00892,1175,11,573.67,41.38,611,2,15.12,1,2.76
F00165,1483,14,420.53,60.21,69,7,8.01,6,4.15
P00668,70,6,113.97,50.09,2,2,18.12,2,3.49
R00029,499,4,136.08,44.64,170,1,27.49,2,2.49
D00296,1563,14,359.54,66.97,417,3,2.09,2,2.78
P00095,98,2,183.6,43.64,21,3,18.6,1,4.58
P00258,97,2,177.6,50.13,5,2,12.7,3,4.12
D00426,642,6,413.19,28.16,389,4,24.46,2,2.88
D00980,1658,3,315.48,36.91,648,2,3.08,3,2.76
F00312,811,11,894.96,76.05,69,3,10.15,0,4.49
D00146,1411,11,599.62,17.55,471,5,6.25,1,3.0
F00400,424,11,342.8,58.12,29,6,7.19,6,4.12
D00654,667,14,164.15,63.92,503,3,18.48,3,3.93
P00384,69,4,139.93,56.39,1,3,14.67,4,3.67
D01077,1087,7,371.92,15.0,435,4,19.72,3,3.31
P00271,74,7,82.72,37.87,22,1,6.39,4,3.21
R00539,466,3,132.16,28.63,137,1,18.87,2,3.2
C00034,1623,51,2102.07,114.66,33,13,2.59,13,4.28
D00790,1212,3,280.05,54.82,406,5,17.55,4,3.39
F00421,325,15,742.77,59.06,22,6,13.58,2,4.58
F01048,1310,15,606.8,103.06,114,4,2.93,2,4.47
F00134,1001,20,795.31,59.91,41,3,12.97,8,4.16
R00283,777,1,99.34,44.97,119,2,27.19,1,2.61
D00275,1714,3,310.35,54.81,638,5,11.17,2,4.22
F01021,1001,24,586.89,20.0,90,7,14.92,7,4.72
D00136,972,13,371.61,60.3,546,4,0.69,0,4.41
P00590,147,4,205.71,58.73,18,4,12.71,0,4.88
P00608,75,2,137.55,34.56,8,1,8.73,2,4.32
C00298,1053,53,2347.08,122.9,33,12,0.2,26,4.62
P00240,132,7,134.0,39.17,29,4,4.5,4,3.96
F00054,898,20,643.64,47.9,77,4,3.22,9,4.19
D00775,539,10,241.97,74.03,771,4,9.43,4,3.49
F00656,1488,16,532.98,76.31,57,3,10.54,0,3.8
R00221,456,1,58.88,28.22,300,2,16.48,2,2.8
C00231,1195,82,3828.66,89.47,21,12,1.99,27,4.52
D00277,693,8,562.9,66.88,773,3,3.69,2,3.2
D00231,1480,13,526.28,43.38,242,3,9.44,2,2.58
F00092,228,6,956.4,72.59,69,7,8.59,2,3.65
P00655,120,7,223.51,37.84,17,3,16.79,2,4.89
R00564,1108,1,156.82,40.46,130,3,37.67,1,3.79
F00370,993,22,643.43,56.91,75,2,12.46,7,4.74
F00034,202,17,433.53,74.9,46,5,3.08,2,4.31
D01093,841,9,502.82,49.63,569,5,15.29,2,2.71
D01078,1656,12,323.47,52.51,388,4,20.33,4,3.16
F00722,801,22,681.06,60.65,117,3,4.12,8,4.23
F01232,1441,24,698.73,59.95,36,2,8.73,5,3.72
P00079,83,6,134.37,38.6,17,1,7.86,0,4.37
F00818,213,19,745.51,48.9,69,5,0.96,4,3.96
F01183,394,14,352.0,48.17,88,2,14.25,6,3.56
R00416,671,4,34.26,36.05,105,1,34.06,0,2.41
R00402,1072,4,123.87,37.3,216,2,34.99,1,2.86
D01119,748,10,423.01,30.99,620,2,8.88,2,3.04
F01053,1313,21,673.39,59.18,108,2,12.52,2,4.6
F00884,333,11,625.68,62.81,41,4,6.08,6,4.69
P00176,125,7,147.76,53.49,25,3,,1,4.97
F00278,838,16,322.41,56.18,112,2,10.11,2,3.66
D00526,1066,11,328.49,40.0,658,2,18.32,0,3.14
F01417,1323,5,722.27,54.72,28,2,6.99,4,4.45
C00427,903,20,3674.84,143.04,41,8,4.11,7,4.34
F00027,1457,18,659.94,95.84,83,3,6.41,3,3.51
F00990,1166,5,687.69,33.26,92,4,12.75,0,4.15
P00124,168,3,93.09,32.46,14,3,15.27,2,4.79
P00118,129,6,50.0,28.89,7,3,4.96,2,4.2
R00184,1057,1,88.76,27.63,141,1,22.15,2,3.46
F00886,654,14,493.1,20.0,31,5,14.12,8,4.69
F01140,233,12,552.37,70.7,32,3,4.7,8,4.29
P00381,139,3,304.82,49.8,2,4,18.95,0,4.52
P00485,111,6,277.26,81.94,29,1,14.64,3,4.3
P00794,136,7,163.98,55.56,17,3,17.86,3,4.71
C00150,890,76,1708.86,147.93,43,13,5.09,10,4.54
F00077,624,5,358.16,74.07,25,6,4.06,5,4.02
F00662,684,23,150.0,66.36,55,6,1.01,1,4.16
R00618,578,4,147.52,49.16,377,3,13.09,2,3.64
C00013,1618,64,4157.32,100.61,15,6,6.65,20,4.35
F01234,1444,5,553.08,91.31,59,2,4.01,4,4.78
D00249,1164,4,486.14,40.54,727,4,11.09,1,3.5
F00892,406,13,925.53,56.83,53,5,1.56,8,3.84
P00628,38,7,343.82,66.17,16,2,14.98,3,4.42
D00687,1851,14,474.76,59.21,594,5,0.79,2,2.96
F00825,768,5,301.36,43.78,100,6,12.37,6,4.47
R00306,446,2,70.11,28.11,214,2,16.39,2,3.64
R00296,815,3,60.97,38.51,237,2,26.6,0,2.14
F00132,453,16,755.36,68.14,47,2,1.34,5,4.46
F00632,923,22,461.88,20.0,30,6,6.02,9,3.64
F01035,444,12,607.61,49.2,53,4,2.81,9,4.21
D00937,1905,4,455.95,53.64,227,5,4.09,4,2.56
F00611,602,15,755.41,71.21,35,3,8.49,0,4.52
D00269,1750,10,623.19,64.59,754,4,5.53,0,3.01
F01335,204,13,397.7,20.0,90,3,10.19,5,4.56
C00554,1816,70,3133.38,134.91,13,10,8.51,12,4.23
C00492,1364,91,2505.9,164.71,39,11,8.08,21,4.61
P00863,51,6,219.22,62.61,1,2,0.6,1,3.28
P00230,126,4,183.89,62.45,28,3,14.54,0,4.02
P00096,30,4,252.28,47.4,10,1,1.01,3,4.2
D00065,1385,9,553.08,55.34,523,3,23.55,4,2.73
F00058,1434,20,707.31,59.36,41,3,4.27,7,4.1
P00275,89,4,137.37,56.45,19,2,11.42,4,4.94
P00126,37,5,119.5,48.22,20,1,2.84,1,3.43
D01265,598,12,505.0,29.18,599,4,10.95,4,4.2
F00571,519,8,585.58,63.89,36,6,10.88,2,4.49
C00133,1460,94,2726.27,163.71,37,14,7.9,27,4.82
C00472,1673,52,2225.29,119.37,13,7,9.07,28,4.26
D00226,1079,12,347.81,60.68,601,3,14.12,3,3.77
F00806,390,8,728.93,54.66,30,6,14.66,9,4.59
P00777,154,4,215.11,60.01,17,2,9.02,3,3.51
R00205,837,2,185.23,22.63,109,1,,0,3.96
R00393,1004,3,133.36,20.32,345,1,28.53,0,3.22
P00727,36,7,271.96,27.95,25,4,18.09,3,4.55
C00288,1783,43,2041.36,102.33,25,8,7.33,15,4.8
F01270,1249,8,586.42,40.22,69,3,3.82,1,4.02
D00115,1476,13,267.61,49.89,408,3,13.79,3,2.7
D00626,1144,8,412.25,46.64,300,3,24.05,4,3.27
P00213,85,2,259.11,60.0,24,2,0.84,4,3.08
R00624,890,4,23.38,23.51,222,3,30.8,2,3.52
F01019,332,20,734.86,47.6,94,4,7.42,4,4.08
F00395,991,5,320.39,60.59,20,5,1.43,9,3.96
F01204,775,6,433.92,49.3,97,2,13.07,0,3.96
P00543,100,3,145.19,48.07,27,3,11.24,0,4.06
R00503,847,2,81.03,20.85,373,2,21.94,2,2.82
D00536,1850,4,245.48,35.93,306,2,18.56,3,3.94
R00532,314,4,31.42,16.82,189,3,14.72,1,2.7
D00912,956,3,450.18,47.47,207,5,24.82,2,3.0
P00008,103,5,116.09,48.51,25,1,1.7,1,4.42
D00045,1512,11,411.38,59.33,200,4,11.13,3,3.6
C00417,1806,65,2256.31,129.44,29,8,6.82,13,4.52
F00378,1035,18,626.85,38.15,87,3,0.37,8,3.9
P00318,57,3,309.13,41.74,24,3,7.15,0,3.82
C00506,1694,71,4026.15,113.78,9,8,3.39,18,4.34
D01153,1043,12,270.64,44.6,654,5,13.72,0,3.18
D01256,1468,14,510.61,49.73,336,3,18.77,0,3.93
D00942,930,9,409.66,15.0,427,5,17.77,1,3.83
C00415,763,48,3568.22,151.82,35,5,4.66,6,4.27
D01149,1473,12,253.39,67.34,243,3,17.68,4,2.53
F00584,669,24,579.49,77.48,66,2,7.57,4,4.49
C00486,1755,36,2310.11,114.02,44,11,4.38,8,4.03
F00294,1224,7,434.08,85.27,88,5,7.64,9,4.16
F00206,714,13,269.48,32.68,98,5,6.89,2,4.02
C00556,1709,76,1529.26,126.42,30,11,0.56,24,4.62
D00826,1084,6,656.04,33.64,609,2,17.18,1,3.91
F00598,1004,12,780.12,74.98,87,2,12.0,0,3.68
D01254,1910,14,367.04,84.69,569,2,21.05,2,3.14
D01059,897,10,370.89,42.9,235,2,11.95,2,3.16
F00694,200,6,609.88,29.29,66,3,13.16,1,3.95
P00122,67,3,283.27,34.67,8,1,18.12,3,4.94
D00505,1337,9,259.61,35.49,703,5,2.81,4,3.17
D00655,1585,7,513.81,53.38,463,2,10.29,0,3.9
R00459,1180,4,94.15,43.61,281,3,9.09,1,3.42
D00007,1386,13,359.43,57.4,408,2,7.12,1,3.87
F01494,368,23,249.9,30.97,28,7,2.24,1,3.54
P00088,167,5,77.12,46.92,11,1,18.24,3,4.68
D00037,1319,7,528.21,87.93,421,3,4.04,2,3.9
D00919,1339,6,251.7,15.0,589,2,23.66,3,3.44
F00673,606,7,632.75,50.07,55,5,3.35,4,4.45
C00291,843,21,2283.33,160.82,44,9,9.78,28,4.04
R00528,645,3,135.6,33.3,178,2,36.39,0,2.88
C00253,1111,23,1242.39,119.45,13,7,5.18,7,4.41
D00246,1959,12,543.97,61.01,496,5,19.68,2,4.49
C00351,1537,50,4838.22,81.89,39,10,2.44,12,4.31
F00588,502,23,655.68,73.61,59,3,4.62,0,4.19
F01362,924,7,491.06,92.46,61,3,10.91,8,4.49
C00423,831,21,2742.25,106.7,26,14,9.0,16,4.72
C00091,761,60,2068.91,94.15,34,14,4.11,5,4.57
D00730,1285,9,101.81,32.46,456,4,2.95,2,3.97
P00137,124,3,347.77,92.86,29,3,5.25,1,3.48
F00071,725,6,518.26,73.11,49,7,5.38,6,3.88
D00041,626,12,687.59,50.47,445,4,19.88,2,4.31
C00027,841,39,2367.61,123.92,36,10,2.54,25,4.47
C00430,869,21,4154.75,175.19,12,5,3.41,10,4.95
F00084,1378,24,636.77,60.56,108,3,1.14,0,4.23
R00164,1057,1,105.58,40.73,180,2,38.47,0,2.9
D00946,1201,14,792.73,52.71,224,3,0.76,2,4.43
D00524,1916,13,259.42,42.37,703,3,23.99,3,3.26
F00942,594,18,681.42,68.78,40,6,10.8,7,4.34
F01432,788,21,509.29,47.48,77,5,7.78,7,
P00133,127,5,190.75,60.43,7,1,1.17,1,4.77
D01121,692,12,272.38,44.1,227,2,4.2,3,3.26
D00236,526,4,631.05,78.6,594,4,14.44,4,3.96
C00255,1567,40,1776.52,118.95,26,12,0.2,9,4.88
F00430,870,9,694.61,69.77,80,7,3.16,8,3.66
R00093,661,3,43.71,21.75,186,2,25.45,0,3.25
D00801,1541,9,169.39,47.24,204,4,14.64,4,2.74
R00011,1139,1,48.83,19.5,185,2,31.71,1,3.23
P00410,120,2,189.84,31.62,8,4,7.37,0,3.61
P00193,163,2,202.0,36.99,10,3,17.35,4,4.18
F00724,1484,16,302.79,83.1,81,7,13.89,0,4.69
F00951,1340,9,634.03,60.16,29,5,1.59,1,4.71
R00348,536,2,171.05,29.54,243,1,28.95,2,3.12
C00316,1990,22,3912.02,163.35,16,11,4.32,23,4.91
F00643,696,20,578.42,80.55,48,6,0.96,1,4.43
P00351,118,6,149.34,57.37,23,1,7.85,0,4.92
F00979,927,18,757.49,39.25,40,6,,9,3.79
R00326,391,2,186.58,36.04,117,2,23.95,0,3.74
D00117,1407,10,266.74,40.33,549,3,9.84,0,2.79
C00070,1937,36,4097.91,80.36,42,9,2.3,15,4.14
F00260,1232,19,555.61,32.95,83,2,11.51,8,4.5
P00654,174,5,252.08,61.36,12,3,10.5,3,4.18
F01033,842,15,300.85,20.0,115,2,13.44,7,3.8
F01051,361,24,793.66,55.35,39,2,10.04,4,4.52
D00861,1751,9,450.12,65.35,225,4,4.02,3,3.84
D00107,879,3,216.11,52.53,521,4,7.03,4,2.72
F00475,516,7,492.58,65.83,96,5,6.11,8,4.04
D01002,1861,5,356.39,30.55,442,3,11.21,1,3.05
F00188,897,13,607.78,43.58,84,4,8.95,4,3.55
P00506,36,7,216.25,44.35,16,4,18.03,3,3.9
D00631,649,13,500.11,54.98,780,5,7.5,1,4.3
P00022,80,3,137.13,39.86,3,4,19.02,3,4.91
F01275,637,14,1065.05,86.09,110,2,0.94,8,4.28
F00212,1342,14,1007.66,39.79,59,4,2.94,3,3.7
C00388,1927,26,2667.73,103.65,23,7,5.4,14,4.77
P00783,49,5,154.18,45.44,12,1,16.61,1,4.93
F00576,1044,14,418.91,81.74,46,3,12.7,5,4.61
D00198,1038,9,133.16,21.31,330,3,16.72,1,3.55
P00524,138,6,198.45,33.17,3,1,7.49,4,4.79
F00752,1039,19,384.76,84.34,65,6,1.76,9,3.84
C00411,1763,52,2329.94,136.59,15,12,0.22,5,4.96
D01213,1039,6,394.23,41.02,746,3,7.83,2,2.53
C00110,1424,82,3530.58,73.31,14,7,8.88,18,4.01
A006c,2612,2,1.15,2.77,26,1,0.0,1,3.32
D00430,1417,6,363.64,48.63,426,3,22.01,2,2.85
P00710,72,5,176.86,45.05,4,1,3.8,0,3.54
P00495,177,5,175.63,50.11,15,1,0.17,2,4.48
P00737,153,2,143.88,55.13,5,1,19.53,2,3.07
P00273,58,2,269.58,52.2,26,4,,0,4.08
F00636,740,6,687.42,92.89,87,2,12.78,8,3.69
P00047,113,6,206.79,53.57,29,1,7.62,2,4.72
A006b,980,17,520.64,64.83,33,5,94.5,5,2.17
C00600,470,22,2537.58,128.04,25,11,6.79,6,4.08
F00835,400,13,710.16,78.93,56,2,12.8,2,
A007c,2931,1,2.36,2.28,38,1,0.0,0,4.45
C00539,1924,71,2044.93,77.2,9,9,1.44,25,4.38
F00122,1209,20,275.46,49.8,76,2,6.85,3,4.33
R00111,1177,4,135.24,29.1,274,1,15.84,1,3.82
F01273,1175,19,659.56,50.86,25,3,2.08,8,4.54
P00746,76,2,126.56,34.51,6,1,11.89,1,3.51
F01454,1389,19,668.41,38.12,96,2,12.51,0,3.53
P00808,128,3,170.98,71.2,11,1,2.86,1,4.93
P00155,152,5,266.3,55.05,14,4,10.47,0,3.52
D00913,628,8,193.87,93.02,230,5,2.23,1,4.32
C00178,1873,99,1800.48,144.64,20,5,7.26,13,4.58
P00791,125,5,180.97,41.38,28,2,10.65,0,3.09
D00674,1687,7,539.02,62.11,404,2,16.99,0,2.97
C00081,1592,88,2829.6,155.28,13,11,8.84,21,4.86
P00462,130,5,80.85,24.54,4,2,8.17,3,4.64
F01124,1227,16,516.99,76.7,57,3,3.2,1,4.76
F01018,1283,22,742.2,25.71,33,4,8.41,5,3.9
F01055,445,15,618.41,52.17,67,2,12.17,5,4.16
P00229,83,4,315.6,40.67,22,1,19.77,0,4.18
R00314,620,2,87.39,41.29,220,1,38.82,1,2.54
C00222,1563,69,1957.95,130.64,24,10,9.25,17,4.21
C00094,1069,86,2477.73,83.07,40,6,8.7,16,4.93
P00510,55,5,115.61,48.07,20,1,10.87,3,3.44
D00383,992,11,655.89,47.13,467,4,1.15,0,3.92
R00116,1171,3,46.37,15.5,127,3,6.69,0,3.56
