id_transaction,id_client,montant,heure,jour_semaine,delai_depuis_derniere_min,nb_transactions_1h,nb_transactions_24h,distance_domicile_km,pays,type_commercant,canal_paiement,age_compte_annees,score_ip,est_fraude
TX00000103,2367,59.7,0,4,12.9,0,6,0.7,Hors-UE,Luxe,Carte physique,5.9,64.0,0
TX00000104,2352,13.67,22,3,80.8,2,3,1.8,France,Alimentaire,Sans contact,11.0,56.1,0
TX00000105,4575,21.09,19,2,143.2,1,4,4.5,France,Alimentaire,En ligne,10.9,65.3,0
TX00000106,4021,27.25,19,4,9.8,0,2,3.7,France,Restaurant,Carte physique,5.8,59.2,0
TX00000107,3692,123.66,9,4,86.1,0,4,1.7,France,E-commerce,En ligne,3.6,50.2,0
TX00000108,3980,60.16,20,0,2.9,0,3,14.8,France,E-commerce,Carte physique,2.4,48.3,0
TX00000109,3684,21.73,10,1,79.0,1,3,1.7,France,E-commerce,En ligne,8.9,51.9,0
TX00000110,3433,119.29,6,0,17.0,0,3,1.0,France,E-commerce,Carte physique,9.5,45.4,0
TX00000111,3176,37.23,10,0,22.7,2,3,3.1,France,Alimentaire,En ligne,6.4,39.9,0
TX00000112,3763,46.19,0,0,208.4,0,5,7.1,France,Restaurant,Mobile,3.8,35.9,0
TX00000113,1916,66.19,11,3,10.0,1,4,4.2,France,Santé,Sans contact,4.7,10.9,0
TX00000114,4096,16.04,22,6,15.5,3,7,0.1,France,Alimentaire,Sans contact,1.0,75.2,0
TX00000115,3067,31.34,13,1,12.7,0,7,1.0,France,E-commerce,En ligne,5.7,69.3,0
TX00000116,3536,134.85,6,5,23.8,0,6,0.2,France,E-commerce,Sans contact,3.5,60.7,0
TX00000117,1303,45.83,7,0,21.3,1,4,5.4,France,Station-service,Mobile,4.2,29.5,0
TX00000118,4468,33.6,15,3,29.0,1,4,1.1,France,E-commerce,Sans contact,4.6,74.7,0
TX00000119,2275,4.0,12,0,14.0,0,4,0.1,France,E-commerce,Sans contact,4.7,53.2,0
TX00000120,4745,80.3,13,3,231.7,1,4,0.1,France,E-commerce,Carte physique,2.8,52.2,0
TX00000121,2404,395.36,16,2,41.2,0,3,0.8,UE,Autre,En ligne,6.2,51.5,0
TX00000122,1236,18.62,10,0,96.2,1,4,0.6,France,Restaurant,Carte physique,4.1,61.5,0
TX00000123,4052,137.08,23,5,50.0,0,8,2.3,UE,E-commerce,Sans contact,5.0,36.6,0
TX00000124,3632,29.47,23,0,7.1,0,4,9.1,UE,Station-service,Carte physique,4.7,59.4,0
TX00000125,4223,26.09,10,2,40.0,2,3,2.8,France,Autre,Carte physique,3.0,39.5,0
TX00000126,1263,54.61,11,1,32.5,1,2,6.4,France,Alimentaire,Carte physique,8.6,43.5,0
TX00000127,2994,19.56,19,6,106.0,0,9,0.3,UE,Restaurant,En ligne,6.2,61.4,0
TX00000128,3974,100.88,18,6,14.3,2,5,3.9,UE,Station-service,En ligne,8.0,59.9,0
TX00000129,1388,33.39,0,4,28.2,0,5,1.8,France,Alimentaire,Carte physique,12.5,63.9,0
TX00000130,4889,10.69,0,3,9.2,0,1,1.2,France,Autre,En ligne,4.2,52.1,0
TX00000131,1781,8.43,19,5,179.6,3,1,0.7,France,Restaurant,Carte physique,0.8,70.2,0
TX00000132,2400,15.83,5,3,13.2,1,3,4.6,UE,Station-service,Sans contact,3.0,75.3,0
TX00000133,1874,65.45,3,0,122.1,1,0,6.9,France,Alimentaire,Mobile,2.4,23.8,0
TX00000134,2452,14.67,20,4,52.9,0,8,1.6,UE,Restaurant,Carte physique,20.3,41.2,0
TX00000135,4072,65.64,15,3,25.4,2,2,5.6,UE,Alimentaire,Carte physique,1.1,57.2,0
TX00000136,3281,51.58,20,6,61.4,2,4,0.2,UE,Alimentaire,Carte physique,5.1,38.5,0
TX00000137,4027,22.33,14,6,62.8,1,1,2.2,France,Voyage,Carte physique,9.3,38.9,0
TX00000138,4243,34.71,5,2,53.8,1,2,8.6,France,Alimentaire,En ligne,4.8,53.5,0
TX00000139,4968,13.2,20,3,102.9,0,5,0.0,UE,Alimentaire,Carte physique,3.8,53.1,1
TX00000140,1481,10.25,4,2,34.3,0,3,1.0,France,Autre,En ligne,4.4,45.4,0
TX00000141,1707,19.85,10,2,82.7,1,6,4.9,France,Alimentaire,Carte physique,11.1,28.0,0
TX00000142,3929,6.83,19,0,20.8,2,5,2.6,France,Restaurant,Sans contact,7.1,62.2,0
TX00000143,3035,15.58,7,5,28.2,1,4,11.8,UE,E-commerce,En ligne,9.0,49.1,0
TX00000144,1500,9.78,22,4,5.0,2,3,14.5,France,Restaurant,Carte physique,9.8,44.9,0
TX00000145,4522,25.3,4,6,152.8,3,2,0.3,France,Station-service,Carte physique,9.6,45.0,0
TX00000146,1113,9.04,23,6,13.8,0,6,13.7,France,Restaurant,Carte physique,10.0,46.5,0
TX00000147,2094,39.69,18,0,20.9,1,5,6.8,France,E-commerce,En ligne,4.9,63.2,0
TX00000148,1769,51.98,22,6,169.3,2,3,14.2,France,Restaurant,Mobile,7.4,45.4,0
TX00000149,3158,26.8,6,5,61.4,1,3,0.4,France,Restaurant,Carte physique,4.1,51.4,0
TX00000150,2388,75.37,23,1,40.8,0,2,37.0,France,Alimentaire,Mobile,7.4,56.7,0
TX00000151,2769,4.95,17,3,19.4,2,5,4.3,France,Restaurant,Carte physique,1.8,66.3,0
TX00000152,4966,19.59,13,6,47.0,3,3,2.3,France,Luxe,Sans contact,3.2,16.1,0
TX00000153,2637,60.16,20,1,63.4,0,2,1.5,France,Restaurant,En ligne,2.4,56.0,0
TX00000154,1284,39.59,5,5,25.6,0,3,0.7,France,Autre,Sans contact,8.5,47.9,0
TX00000155,2567,43.25,0,4,20.7,2,6,12.4,France,E-commerce,En ligne,3.2,61.9,0
TX00000156,2724,17.53,13,4,49.4,0,4,9.1,UE,E-commerce,Carte physique,2.6,58.5,0
TX00000157,2388,20.86,18,2,75.8,2,0,0.8,France,Restaurant,Sans contact,5.6,40.9,0
TX00000158,3189,42.84,7,3,22.4,1,2,8.4,UE,Alimentaire,Carte physique,4.9,46.2,0
TX00000159,4472,61.04,18,2,36.6,0,2,1.6,France,E-commerce,En ligne,3.5,,0
TX00000160,4730,11.5,2,1,283.4,1,2,7.6,UE,E-commerce,En ligne,8.0,29.7,0
TX00000161,3324,226.46,23,0,48.6,0,6,6.4,France,Alimentaire,Carte physique,1.0,44.7,0
TX00000162,4494,38.9,0,5,90.4,0,6,8.7,France,Restaurant,Carte physique,4.1,37.7,0
TX00000163,4662,20.94,8,1,54.1,0,6,17.1,UE,Restaurant,En ligne,9.4,43.2,0
TX00000164,3899,237.16,10,6,70.9,3,3,7.8,France,E-commerce,En ligne,4.8,47.2,0
TX00000165,3733,25.9,2,5,26.7,1,4,0.7,UE,Voyage,Mobile,6.4,51.4,0
TX00000166,4915,19.83,17,2,26.3,0,6,5.2,France,Santé,En ligne,2.6,38.5,0
TX00000167,2707,6.97,8,5,157.4,0,2,4.0,France,Restaurant,Sans contact,4.1,43.6,0
TX00000168,1495,30.66,19,2,20.0,0,3,3.8,France,E-commerce,En ligne,4.8,34.3,0
TX00000169,3245,32.77,2,5,102.0,2,4,3.9,France,Station-service,Sans contact,6.9,28.5,0
TX00000170,2965,49.56,22,6,38.6,2,7,1.5,France,Alimentaire,En ligne,3.5,70.5,0
TX00000171,3156,115.01,17,1,49.7,2,4,3.0,UE,Alimentaire,En ligne,1.7,61.1,0
TX00000172,3443,129.22,0,5,25.7,1,5,3.5,France,E-commerce,Carte physique,7.1,61.3,0
TX00000173,3090,90.93,3,5,46.7,0,0,0.2,France,Alimentaire,Carte physique,6.5,51.4,0
TX00000174,1510,289.04,0,3,78.0,0,1,17.9,France,Luxe,Mobile,1.0,68.3,0
TX00000175,4112,42.43,15,0,102.2,2,7,4.5,France,Alimentaire,Mobile,6.4,67.4,0
TX00000176,2997,9.65,19,0,21.4,1,5,2.2,France,Restaurant,En ligne,2.3,51.1,0
TX00000177,3756,62.41,10,1,49.5,2,6,0.9,France,E-commerce,Carte physique,14.4,57.5,0
TX00000178,2535,16.79,7,4,70.0,1,3,2.2,France,Alimentaire,Sans contact,3.0,45.0,0
TX00000179,3804,18.8,23,0,114.1,2,2,3.4,UE,Autre,Mobile,11.7,55.8,0
TX00000180,1040,4.72,11,3,63.6,1,4,2.2,France,Alimentaire,Carte physique,5.5,60.2,0
TX00000181,2667,23.12,9,4,6.9,0,4,0.3,Hors-UE,Luxe,Mobile,13.1,49.4,0
TX00000182,2374,14.36,5,5,149.0,1,4,1.0,France,Santé,Carte physique,4.2,36.5,0
TX00000183,4625,48.71,20,3,112.4,0,4,8.4,France,Restaurant,Carte physique,6.2,61.9,0
TX00000184,2031,40.82,19,3,217.0,0,3,4.5,France,E-commerce,Sans contact,5.7,42.2,0
TX00000185,4972,38.65,6,4,25.3,1,4,1.0,France,Restaurant,Carte physique,4.9,87.5,0
TX00000186,1595,9.19,1,5,92.4,0,4,0.4,France,Autre,Sans contact,10.8,61.6,0
TX00000187,2983,8.4,8,5,225.5,1,5,7.0,France,Station-service,Carte physique,4.3,53.7,0
TX00000188,1677,95.57,7,6,3.3,3,6,12.8,France,Santé,En ligne,3.5,56.6,0
TX00000189,2952,19.21,15,4,96.7,0,4,12.6,France,Restaurant,En ligne,4.8,53.4,0
TX00000190,3965,24.26,9,1,14.8,1,2,2.9,France,Alimentaire,Mobile,8.6,54.5,0
TX00000191,2986,35.21,5,6,169.8,0,2,1.3,France,Luxe,Mobile,13.0,68.2,0
TX00000192,4997,24.98,12,1,26.5,1,3,21.2,France,Voyage,Mobile,8.7,61.3,0
TX00000193,1073,7.34,20,6,374.4,0,1,0.2,UE,Alimentaire,Carte physique,7.0,35.6,0
TX00000194,3974,30.64,7,4,87.6,0,5,5.2,France,Restaurant,Mobile,7.5,23.8,0
TX00000195,4071,59.33,23,3,4.2,1,9,6.5,France,E-commerce,Carte physique,2.4,66.5,0
TX00000196,2144,125.18,2,1,19.7,0,7,0.5,UE,Santé,Carte physique,7.1,39.9,0
TX00000197,3143,546.23,18,5,36.0,1,3,2.1,France,Alimentaire,En ligne,7.5,43.3,0
TX00000198,1839,174.2,22,3,115.0,0,3,2.9,France,Restaurant,Sans contact,9.9,72.8,0
TX00000199,1740,15.45,16,4,23.6,1,6,3.8,France,Alimentaire,Carte physique,5.2,44.7,0
TX00000200,3655,64.55,17,2,7.6,2,6,6.1,France,E-commerce,En ligne,9.4,19.0,0
TX00000201,1125,207.48,12,4,27.7,1,5,0.9,France,Restaurant,En ligne,2.9,55.2,0
TX00000202,2000,25.86,12,2,114.1,1,3,0.9,France,Station-service,En ligne,5.0,42.3,0
TX00000203,4246,42.17,15,0,12.0,1,5,18.4,France,Alimentaire,Carte physique,7.7,43.1,0
TX00000204,1639,51.92,19,1,108.5,1,5,0.5,France,Restaurant,Carte physique,6.6,50.8,0
TX00000205,1379,25.12,23,6,10.4,4,2,0.7,France,Alimentaire,Sans contact,10.5,14.4,0
TX00000206,1002,46.64,6,4,44.9,0,2,11.6,France,E-commerce,En ligne,7.7,47.3,0
TX00000207,3271,151.44,14,1,18.6,1,5,5.8,France,Alimentaire,Carte physique,2.8,52.9,0
TX00000208,4085,40.45,3,5,49.3,1,2,6.5,France,Autre,Carte physique,4.8,37.2,0
TX00000209,4982,131.98,23,2,53.8,1,5,5.3,Hors-UE,E-commerce,Carte physique,6.9,43.0,0
TX00000210,1780,11.05,1,2,107.3,0,3,5.4,UE,Restaurant,En ligne,4.3,67.3,0
TX00000211,3796,85.31,16,0,386.8,0,5,1.8,France,E-commerce,Sans contact,2.8,44.0,0
TX00000212,1371,16.83,13,6,147.3,1,4,6.3,France,Restaurant,En ligne,9.1,72.2,0
TX00000213,3910,20.54,5,1,8.0,1,7,5.8,UE,E-commerce,Carte physique,1.9,54.4,0
TX00000214,1705,25.74,20,0,53.5,0,4,10.3,France,Restaurant,Carte physique,2.5,29.8,0
TX00000215,4080,50.44,23,4,1.2,1,1,1.3,UE,Alimentaire,En ligne,8.8,50.1,0
TX00000216,2714,41.89,3,3,117.8,0,7,2.1,France,Alimentaire,En ligne,8.5,41.4,0
TX00000217,3279,112.7,9,1,60.8,0,5,12.1,France,Alimentaire,Mobile,2.3,58.9,0
TX00000218,4393,15.73,20,1,89.9,1,2,3.4,France,Autre,Carte physique,6.3,41.7,0
TX00000219,1265,392.0,18,1,10.7,1,4,15.0,France,Station-service,Carte physique,8.3,51.8,0
TX00000220,4895,45.18,7,1,14.3,0,2,0.4,UE,Station-service,Sans contact,3.2,68.7,0
TX00000221,4636,52.66,15,2,204.5,0,4,10.0,Hors-UE,Alimentaire,Mobile,2.9,44.2,0
TX00000222,2522,34.15,21,6,15.9,0,2,0.4,France,E-commerce,Sans contact,3.4,64.9,0
TX00000223,1757,283.41,12,3,28.3,0,5,1.9,France,Autre,En ligne,4.0,62.2,0
TX00000224,2937,33.11,19,5,7.9,1,4,3.8,France,E-commerce,En ligne,10.3,31.3,0
TX00000225,3439,258.06,1,3,9.0,4,7,3.6,France,E-commerce,Carte physique,4.7,64.0,1
TX00000226,3891,153.61,4,3,3.0,1,1,9.4,France,Alimentaire,Carte physique,6.3,53.1,0
TX00000227,3239,4.44,19,4,4.3,2,8,1.8,France,Voyage,En ligne,5.4,67.9,0
TX00000228,1588,126.44,7,0,85.0,1,4,3.8,France,Alimentaire,Carte physique,3.9,34.6,0
TX00000229,1240,14.12,18,4,46.7,0,5,6.8,France,Restaurant,Carte physique,8.9,21.8,0
TX00000230,2190,245.73,16,2,156.3,0,6,3.4,France,Autre,En ligne,5.0,59.8,0
TX00000231,1757,16.41,13,5,45.4,1,2,4.2,France,Station-service,Carte physique,11.5,76.9,0
TX00000232,4698,24.6,2,4,82.3,1,4,8.7,France,E-commerce,Carte physique,5.1,17.9,0
TX00000233,4180,194.46,22,2,25.1,3,6,4.7,France,Santé,Mobile,13.5,59.7,0
TX00000234,4989,224.72,5,4,126.4,1,4,0.6,France,E-commerce,Carte physique,10.0,63.4,0
TX00000235,1825,88.99,21,4,43.6,0,3,2.5,France,Station-service,Carte physique,10.3,41.6,0
TX00000236,3615,31.43,18,3,45.1,3,4,4.0,France,Station-service,Carte physique,3.8,75.0,0
TX00000237,3753,14.23,18,6,3.7,1,5,1.4,France,Restaurant,Sans contact,1.6,38.9,0
TX00000238,2657,31.71,9,6,5.6,0,3,6.8,France,Alimentaire,Carte physique,1.5,49.6,0
TX00000239,1766,9.68,5,2,12.2,0,5,1.0,France,Restaurant,En ligne,6.7,59.1,0
TX00000240,2328,148.71,9,4,21.5,0,4,0.6,France,E-commerce,Sans contact,3.3,41.4,0
TX00000241,4578,87.17,10,3,15.7,3,4,8.0,France,E-commerce,Mobile,3.8,22.6,0
TX00000242,4129,58.53,11,0,49.9,1,1,1.1,UE,Voyage,Sans contact,1.2,52.8,0
TX00000243,4114,58.35,16,2,8.9,0,5,21.4,France,Restaurant,Sans contact,3.6,44.1,0
TX00000244,4369,341.29,20,5,1.0,1,2,0.6,France,E-commerce,Carte physique,6.1,35.4,0
TX00000245,3742,175.76,6,2,123.1,1,3,2.1,Hors-UE,Alimentaire,Carte physique,4.8,31.0,0
TX00000246,2191,207.81,16,5,28.8,2,4,1.1,UE,Station-service,En ligne,7.1,45.1,0
TX00000247,1718,10.19,19,2,6.9,0,5,4.2,France,Alimentaire,Carte physique,4.1,44.3,0
TX00000248,2981,276.95,3,2,153.4,2,4,9.1,France,Station-service,Carte physique,2.6,59.1,0
TX00000249,3016,43.31,18,0,2.2,4,3,3.4,France,Alimentaire,En ligne,4.8,69.1,0
TX00000250,2445,28.33,23,1,145.4,0,4,2.1,France,E-commerce,Carte physique,7.6,32.4,0
TX00000251,1262,84.48,7,3,35.6,1,5,0.3,France,Luxe,Sans contact,9.0,27.6,0
TX00000252,4057,16.66,8,6,12.7,2,4,1.7,Hors-UE,E-commerce,Carte physique,9.2,85.9,0
TX00000253,4541,71.55,5,6,55.9,0,2,3.3,France,Voyage,Sans contact,2.8,36.7,0
TX00000254,4553,14.27,17,1,1.0,0,4,6.0,UE,E-commerce,Carte physique,7.5,59.5,0
TX00000255,2233,108.59,0,4,62.8,2,4,1.2,France,Restaurant,Carte physique,4.1,14.8,0
TX00000256,3897,44.97,9,1,68.0,1,4,2.5,France,Alimentaire,Sans contact,8.4,59.0,0
TX00000257,1859,32.83,21,3,121.4,0,3,3.2,France,Station-service,En ligne,2.3,,0
TX00000258,3824,130.93,19,3,8.7,1,4,1.9,France,Luxe,Carte physique,2.8,34.3,0
TX00000259,1646,41.39,20,0,109.3,1,5,8.1,France,E-commerce,En ligne,13.7,41.6,0
TX00000260,4091,16.76,13,4,53.0,1,4,7.7,France,E-commerce,Carte physique,17.4,37.9,0
TX00000261,3231,130.26,10,6,42.1,0,2,1.0,France,Restaurant,Carte physique,5.6,50.3,0
TX00000262,4770,20.64,21,4,5.4,1,5,5.8,France,Santé,Carte physique,16.2,67.3,0
